"animal" "DIM" "CG" "MY"
"1669" "1034" 305 "32" 20.9
"1670" "1034" 308 "32" 19.7
"1671" "1035" 5 "32" 27.6
"1672" "1035" 8 "32" 28.9
"1673" "1035" 12 "32" 33.7
"1674" "1035" 15 "32" 36.7
"1675" "1035" 19 "32" 37
"1676" "1035" 22 "32" 36.8
"1677" "1035" 26 "32" 37.2
"1678" "1035" 27 "32" 39.2
"1679" "1035" 33 "32" 35
"1680" "1035" 36 "32" 34.3
"1681" "1035" 40 "32" 35.8
"1682" "1035" 43 "32" 34.8
"1683" "1035" 47 "32" 34.6
"1684" "1035" 49 "32" 36
"1685" "1035" 54 "32" 31.6
"1686" "1035" 57 "32" 31.6
"1687" "1035" 61 "32" 32.7
"1688" "1035" 64 "32" 33.9
"1689" "1035" 68 "32" 30
"1690" "1035" 71 "32" 33
"1691" "1035" 75 "32" 30.5
"1692" "1035" 79 "32" 30.4
"1693" "1035" 82 "32" 33.1
"1694" "1035" 85 "32" 27.4
"1695" "1035" 89 "32" 34.1
"1696" "1035" 92 "32" 37.3
"1697" "1035" 96 "32" 32.9
"1698" "1035" 99 "32" 34
"1699" "1035" 103 "32" 25.7
"1700" "1035" 106 "32" 36.9
"1701" "1035" 110 "32" 34.4
"1702" "1035" 113 "32" 26.3
"1703" "1035" 117 "32" 33.4
"1704" "1035" 120 "32" 34.5
"1705" "1035" 124 "32" 34.4
"1706" "1035" 127 "32" 36.9
"1707" "1035" 131 "32" 32.7
"1708" "1035" 134 "32" 34.8
"1709" "1035" 138 "32" 34.4
"1710" "1035" 141 "32" 33.7
"1711" "1035" 145 "32" 31.4
"1712" "1035" 148 "32" 33.2
"1713" "1035" 152 "32" 30.2
"1714" "1035" 155 "32" 32.9
"1715" "1035" 159 "32" 34.7
"1716" "1035" 162 "32" 36.9
"1717" "1035" 166 "32" 34.5
"1718" "1035" 169 "32" 34.5
"1719" "1035" 173 "32" 31.3
"1720" "1035" 176 "32" 30.3
"1721" "1035" 180 "32" 34.2
"1722" "1035" 183 "32" 30.9
"1723" "1035" 187 "32" 34.7
"1724" "1035" 190 "32" 32.2
"1725" "1035" 194 "32" 31.3
"1726" "1035" 197 "32" 31.3
"1727" "1035" 201 "32" 31
"1728" "1035" 204 "32" 28.9
"1729" "1035" 208 "32" 30.5
"1730" "1035" 211 "32" 30.7
"1731" "1035" 215 "32" 29.1
"1732" "1035" 218 "32" 29.5
"1733" "1035" 222 "32" 32.6
"1734" "1035" 225 "32" 28.3
"1735" "1035" 229 "32" 30.2
"1736" "1035" 232 "32" 30.5
"1737" "1035" 236 "32" 26.3
"1738" "1035" 239 "32" 25.9
"1739" "1035" 243 "32" 28.5
"1740" "1035" 246 "32" 28
"1741" "1035" 250 "32" 29
"1742" "1035" 252 "32" 18.9
"1743" "1035" 253 "32" 27.8
"1744" "1035" 257 "32" 30.3
"1745" "1035" 260 "32" 31.5
"1746" "1035" 264 "32" 30.6
"1747" "1035" 268 "32" 32.4
"1748" "1035" 271 "32" 18.7
"1749" "1035" 274 "32" 26.3
"1750" "1035" 278 "32" 28.5
"1751" "1035" 281 "32" 30.3
"1752" "1035" 285 "32" 27.1
"1753" "1035" 288 "32" 24.9
"1754" "1035" 292 "32" 27.1
"1755" "1035" 295 "32" 25.9
"1756" "1035" 299 "32" 26.3
"1757" "1035" 302 "32" 15
"1758" "1035" 306 "32" 27.9
"1759" "1035" 308 "32" 28.4
"1760" "1035" 313 "32" 27
"1761" "1035" 316 "32" 31.8
"1762" "1035" 320 "32" 30.6
"1763" "1035" 323 "32" 28.4
"1764" "1035" 326 "32" 30.5
"1765" "1035" 330 "32" 29.4
"1766" "1035" 334 "32" 30.1
"1767" "1035" 336 "32" 27.5
"1768" "1035" 340 "32" 30.4
"1769" "1035" 343 "32" 27
"1770" "1035" 349 "32" 23.3
"1771" "1035" 357 "32" 23.2
"1772" "1035" 361 "32" 25.4
"1773" "1035" 364 "32" 26.7
"1774" "1035" 368 "32" 23.1
"1775" "1035" 376 "32" 25.8
"1776" "1035" 378 "32" 25.3
"1777" "1035" 382 "32" 22.7
"1778" "1035" 386 "32" 20.5
"1779" "1035" 390 "32" 22.7
"1780" "1035" 393 "32" 23.2
"1781" "1035" 396 "32" 20.3
"1782" "1035" 399 "32" 23.8
"1783" "1035" 403 "32" 24.9
"1784" "1035" 406 "32" 22.9
"1785" "1035" 411 "32" 20
"1786" "1035" 414 "32" 19.2
"1787" "1035" 417 "32" 22.6
"1788" "1035" 420 "32" 19.3
"1789" "1035" 424 "32" 23.4
"1790" "1035" 428 "32" 24.1
"1791" "1035" 432 "32" 24.5
"1792" "1035" 436 "32" 19.6
"1793" "1035" 438 "32" 21
"1794" "1035" 445 "32" 23
"1795" "1035" 448 "32" 21
"1796" "1036" 55 "21" 25
"1797" "1036" 86 "21" 26
"1798" "1036" 117 "21" 26
"1799" "1036" 147 "21" 23
"1800" "1036" 186 "21" 25.4
"1801" "1036" 281 "21" 19.2
"1802" "1036" 25 "21" 22
"1803" "1037" 59 "22" 30.4
"1804" "1037" 89 "22" 29.8
"1805" "1037" 122 "22" 27.1
"1806" "1037" 151 "22" 32.7
"1807" "1037" 187 "22" 20
"1808" "1037" 214 "22" 18.8
"1809" "1037" 249 "22" 20.2
"1810" "1037" 283 "22" 19
"1811" "1037" 312 "22" 20.4
"1812" "1037" 340 "22" 16
"1813" "1037" 368 "22" 16
"1814" "1037" 403 "22" 19
"1815" "1037" 431 "22" 13.2
"1816" "1037" 28 "22" 16
"1817" "1037" 2 "32" 9
"1818" "1037" 6 "32" 17.4
"1819" "1037" 9 "32" 21.2
"1820" "1037" 13 "32" 18.4
"1821" "1037" 17 "32" 22.5
"1822" "1037" 20 "32" 26.7
"1823" "1037" 23 "32" 26.2
"1824" "1037" 27 "32" 24.6
"1825" "1037" 30 "32" 29.6
"1826" "1037" 34 "32" 27.1
"1827" "1037" 37 "32" 26.9
"1828" "1037" 42 "32" 27.7
"1829" "1037" 44 "32" 28.1
"1830" "1037" 48 "32" 30.1
"1831" "1037" 51 "32" 30.7
"1832" "1037" 55 "32" 31.2
"1833" "1037" 58 "32" 31.5
"1834" "1037" 62 "32" 29.5
"1835" "1037" 65 "32" 28.7
"1836" "1037" 69 "32" 27.3
"1837" "1037" 72 "32" 26.3
"1838" "1037" 76 "32" 28.1
"1839" "1037" 79 "32" 28.1
"1840" "1037" 83 "32" 32.1
"1841" "1037" 86 "32" 33
"1842" "1037" 90 "32" 32.8
"1843" "1037" 93 "32" 34.6
"1844" "1037" 97 "32" 36.2
"1845" "1037" 99 "32" 33.3
"1846" "1037" 105 "32" 35.9
"1847" "1037" 107 "32" 38.1
"1848" "1037" 111 "32" 36.1
"1849" "1037" 118 "32" 30.5
"1850" "1037" 121 "32" 31.7
"1851" "1037" 125 "32" 28.7
"1852" "1037" 128 "32" 33.2
"1853" "1037" 132 "32" 36.4
"1854" "1037" 135 "32" 34.7
"1855" "1037" 139 "32" 31.9
"1856" "1037" 142 "32" 35.6
"1857" "1037" 146 "32" 34.2
"1858" "1037" 149 "32" 34.4
"1859" "1037" 153 "32" 37.9
"1860" "1037" 156 "32" 37.8
"1861" "1037" 160 "32" 33.7
"1862" "1037" 163 "32" 32.3
"1863" "1037" 167 "32" 35.5
"1864" "1037" 170 "32" 37.9
"1865" "1037" 174 "32" 32.4
"1866" "1037" 177 "32" 33.3
"1867" "1037" 181 "32" 34.1
"1868" "1037" 182 "32" 34.3
"1869" "1037" 188 "32" 20.2
"1870" "1037" 191 "32" 32.4
"1871" "1037" 195 "32" 29.8
"1872" "1037" 198 "32" 32.2
"1873" "1037" 202 "32" 31.4
"1874" "1037" 204 "32" 32.8
"1875" "1037" 209 "32" 27.8
"1876" "1037" 212 "32" 27.1
"1877" "1037" 216 "32" 30.7
"1878" "1037" 219 "32" 26.4
"1879" "1037" 223 "32" 24.9
"1880" "1037" 226 "32" 25.9
"1881" "1037" 230 "32" 25.8
"1882" "1037" 234 "32" 24.6
"1883" "1037" 237 "32" 27.2
"1884" "1037" 240 "32" 27.7
"1885" "1037" 244 "32" 28.1
"1886" "1037" 247 "32" 27.8
"1887" "1037" 251 "32" 28.2
"1888" "1037" 254 "32" 26.9
"1889" "1037" 258 "32" 25.5
"1890" "1037" 261 "32" 27.1
"1891" "1037" 265 "32" 24.2
"1892" "1037" 268 "32" 20.9
"1893" "1037" 272 "32" 25.2
"1894" "1037" 275 "32" 26.1
"1895" "1037" 279 "32" 27.6
"1896" "1037" 282 "32" 28.8
"1897" "1037" 286 "32" 21
