ID GC age w
468 644 221 21 4.85
469 645 221 21 4.15
470 648 121 21 5.55
471 649 121 21 6.01
472 650 121 21 5.84
473 653 221 21 5.42
474 654 221 21 5.74
475 659 121 21 5.51
476 660 121 21 4.75
477 662 221 21 3.15
478 670 222 21 4.05
479 673 222 21 3.85
480 674 221 21 3.35
481 677 121 21 4.7
482 678 121 21 4.22
483 679 121 21 4.85
484 680 221 21 5.53
485 681 222 21 4.39
486 683 121 21 3.95
487 684 121 21 4.32
488 685 121 21 4.17
489 688 121 21 4.11
490 691 221 21 3.03
491 692 221 21 4.51
492 695 121 21 3.97
493 696 121 21 4.54
494 697 121 21 3.27
495 698 121 21 5
496 699 121 21 5.72
497 700 121 21 5.62
498 702 221 21 3.81
499 703 221 21 6.01
500 704 221 21 4.12
501 705 221 21 4.29
502 710 121 21 3.81
503 711 121 21 5.63
504 712 121 21 5.66
505 713 221 21 5.04
506 714 221 21 5.62
507 715 221 21 3.25
508 718 121 21 4.2
509 720 121 21 3.59
510 721 121 21 5.38
511 722 221 21 3.28
512 723 221 21 4.45
513 725 221 21 4.65
514 742 121 21 3.77
515 743 121 21 3.04
516 745 221 21 3.83
517 746 221 21 3.81
518 747 221 21 3.44
519 748 221 21 3.77
520 749 121 21 4.38
521 750 221 21 5.3
522 751 222 21 4.49
523 752 221 21 5.93
524 753 121 21 4.74
525 754 221 21 3.36
526 755 221 21 3.24
527 757 132 21 4.15
528 759 132 21 3.65
529 760 231 21 3.57
530 762 231 21 3.55
531 765 232 21 5.26
532 767 131 21 4.67
533 768 231 21 5.23
534 769 231 21 4.95
535 777 131 21 6.37
536 778 131 21 6.09
537 780 231 21 7.08
538 781 232 21 6.2
539 785 131 21 4.61
540 792 232 21 5.59
541 794 232 21 5.22
542 795 232 21 4.67
543 797 131 21 4.04
544 798 231 21 6.97
545 799 231 21 4.81
546 800 231 21 3.08
547 801 231 21 4.57
548 807 132 21 5.66
549 810 131 21 4.15
550 811 132 21 4.5
551 813 231 21 6.62
552 817 131 21 4.35
553 819 131 21 4.41
554 820 131 21 5.31
555 822 131 21 3.67
556 824 231 21 4.87
557 827 131 21 3.97
558 829 131 21 4.49
559 830 131 21 4.26
560 831 231 21 4.82
561 834 231 21 4.24
562 836 231 21 3.25
563 839 131 21 4.85
564 840 131 21 4.44
565 851 131 21 4.69
566 856 231 21 4.81
567 858 131 21 7.07
568 860 131 21 4.9
569 862 231 21 8
570 864 231 21 6.65
571 865 131 21 5.18
572 866 131 21 4.5
573 867 231 21 4.49
574 868 231 21 4.2
575 869 231 21 5.11
